RP_ID,Year,Author,Title,Venue,DOI,Contribution,Dataset,Data Size,Models Used,Evaluation Metrics,Key Results,Strengths,Limitations
RP01,2016,Paperno,The LAMBADA dataset: Word prediction requiring a broad discourse context,ACL 2016,,"Introduces LAMBADA, a word prediction benchmark of 10,022 narrative passages where the last word is guessable only with broad discourse context, not the final sentence alone.",LAMBADA; BookCorpus; Control set (5K passages from BookCorpus test novels),"10,022 passages (4,869 dev + 5,153 test); training corpus of 2,662 novels with 203 million words; total novel pool 5,325 books and 465 million words",RNN (Elman); LSTM; N-Gram (SRILM); N-Gram with cache; Memory Network; Sup-CBOW; Unsup-CBOW,Accuracy (%)=7.3 (Random capitalized word from passage LAMBADA); Perplexity=768 (N-Gram w/cache LAMBADA); Accuracy (%)=0 (LSTM LAMBADA); Accuracy (%)=21.9 (LSTM Control (5K Book Corpus passages)) | other metrics: Accuracy; Median rank of correct word,"On LAMBADA, no tested language model reaches above 1% accuracy (LSTM, RNN, Memory Network, N-Gram all 0%; N-Gram w/cache 0.1%) | LSTM accuracy: LAMBADA 0% (PPL 5357) vs Control 21.9% (PPL 149) | N-Gram with cache achieves the best LAMBADA perplexity at 768 (still 0.1% accuracy) | Random capitalized word from passage baseline reaches 7.3% accuracy on LAMBADA, beating all neural models","Human-validated by strict crowdsourcing: each passage requires two consecutive subjects to guess the target with broad context, but no subject from a pool of ten can guess from the last sentence. | Casts long-context understanding as standard word prediction, so any language model can be tested without task-specific architecture changes. | Built from unpublished BookCorpus novels, which limits leakage of world knowledge from Wikipedia or famous books. | Establishes a wide gap between humans and 2016 language models (all under 1% accuracy), giving a clear long-term research target.","Authors call the modelling work very preliminary and a proof-of-concept, with limited tuning of neural baselines. | Filtering selects passages where simple language models already fail, so standard LMs are bound to score near zero by design. | Strict perfect-match acceptance rule rejects synonyms or other plausible continuations, narrowing what counts as a correct answer. | Cost limited the use of more annotators at stage 1, which the authors say could improve filtering quality."
RP02,2017,Vaswani,Attention Is All You Need,NeurIPS (NIPS) 2017,,"Introduces the Transformer, a sequence transduction architecture based solely on self-attention, removing recurrence and convolutions and enabling far more parallel training while reaching state-of-the-art translation quality.",WMT 2014 English-to-German; WMT 2014 English-to-French; Penn Treebank (Wall Street Journal); BerkeleyParser semi-supervised corpora (~17M sentences),WMT En-De ~4.5M sentence pairs (37K BPE vocab); WMT En-Fr 36M sentences (32K word-piece vocab); WSJ ~40K training sentences for parsing,"Transformer (base): N=6, d_model=512, d_ff=2048, h=8, ~65M params; Transformer (big): N=6, d_model=1024, d_ff=4096, h=16, ~213M params; Transformer (4 layers) for constituency parsing, d_model=1024","BLEU=28.4 (Transformer (big) WMT 2014 EN-DE (newstest2014)); BLEU=41.8 (Transformer (big) WMT 2014 EN-FR (newstest2014)); Training Cost (FLOPs)=3.3e+18 (Transformer (base) WMT 2014 EN-DE (newstest2014)); F1=91.3 (Transformer (4 layers, dmodel=1024) WSJ-23 (Penn Treebank)) | other metrics: Perplexity (per-wordpiece, dev set); WSJ section 23 F1 (constituency parsing)","Transformer (big) reaches 28.4 BLEU on WMT 2014 EN-DE, beating prior best (including ensembles) by over 2 BLEU | Transformer (big) reaches 41.8 BLEU on WMT 2014 EN-FR, a new single-model state of the art, after 3.5 days on 8 P100 GPUs | Transformer (base) reaches 27.3 BLEU EN-DE / 38.1 BLEU EN-FR at training cost 3.3×10^18 FLOPs, far below prior models | 4-layer Transformer reaches 91.3 F1 on WSJ-23 (WSJ-only) and 92.7 F1 (semi-supervised), outperforming most prior parsers","Removes recurrence and convolutions, allowing far more parallel training and shorter wall-clock time to state of the art. | Sets a new single-model state of the art on WMT 2014 EN-DE (28.4 BLEU) and EN-FR (41.8 BLEU). | Self-attention gives O(1) maximum path length between any two positions, easing long-range dependency learning. | Generalises beyond translation: a 4-layer Transformer reaches 92.7 F1 on WSJ constituency parsing with little tuning.","Self-attention costs O(n^2 · d) per layer, becoming expensive for very long sequences relative to recurrent layers. | Multi-head attention has reduced effective resolution due to averaging attention-weighted positions, only partly fixed by multiple heads. | Reducing attention key size d_k hurts quality, suggesting dot-product compatibility may be insufficient. | Single-head attention is 0.9 BLEU worse than the best setting; quality also drops with too many heads."
RP03,2018,Mihaylov,Can a Suit of Armor Conduct Electricity? A New Dataset for Open Book Question Answering,EMNLP 2018,,"OpenBookQA is a new 5,957-question multiple-choice QA benchmark paired with a 1,326-fact open book of elementary science, requiring multi-hop reasoning that combines a core fact with broad common knowledge.","OpenBookQA (5,957 4-way multiple-choice science questions); F: 1,326 elementary science facts (open book, subset of WorldTree); K: ~6,000 auxiliary common-knowledge facts (crowdsourced second facts); ConceptNet (external knowledge source); WordNet (external knowledge source)","5,957 multiple-choice questions split 4,957/500/500 for Train/Dev/Test; 1,326 core science facts; ~6,000 auxiliary K facts","PMI (Clark et al., 2016); TableILP (Khashabi et al., 2016); TupleInference (Khot et al., 2017); DGEM (Khot et al., 2018); IR solver (Clark et al., 2016); Embeddings + Similarities (logistic regression with GloVe centroids); ESIM (Chen et al., 2017b); Plausible Answer Detector (BiLSTM max-out, choice-only); Odd-One-Out Solver (BiLSTM max-out, choice-to-choices attention); Question Match (BiLSTM max-out attention); Knowledge-Enhanced Reader (variant of Mihaylov and Frank, 2018); ELMo (Peters et al., 2018) - applied to Question Match and ESIM; GloVe 300d embeddings (840B Common Crawl tokens) - input embeddings",Accuracy=89.3 (Human OpenBookQA-Dev); Accuracy=91.7 (Human OpenBookQA-Test); Accuracy=49.6 (BiLSTM Max-Out OpenBookQA-Test); Accuracy=50.2 (BiLSTM Max-Out OpenBookQA-Test) | other metrics: accuracy (% correct on 4-way multiple choice; tie credit 1/k); standard deviation across 5 random seeds,"Human performance on OpenBookQA Test = 91.7% (Dev = 89.3%); reported as conservative Ĥ(Q)-3% lower estimate | Best knowledge-free trained baseline (Question Match / Odd-one-out) reaches 50.2% Test accuracy, far below the ~92% human level | Pre-trained science QA solvers perform near random: TupleInference 17.9%, PMI 21.2%, TableILP 23.4%, DGEM 24.4% on Test | Oracle Knowledge-Enhanced Reader given gold f and k reaches 76.9% Test, still ~15 points below human performance","Introduces a novel open-book QA paradigm forcing multi-hop reasoning that joins one provided science fact with external common knowledge. | Multi-stage crowdsourcing plus IR/word-association adversarial filtering yields questions that defeat retrieval-only baselines. | Reports a principled human-performance estimate (~92%) using Hoeffding's inequality with high-confidence lower bounds. | Includes ablations with simplistic baselines (Plausible Answer Detector, Odd-One-Out) that expose human bias artifacts in crowdsourced QA data.","Auxiliary fact set K is acknowledged as noisy: ""often incomplete, over-complete, or only distantly related"" to the question. | 21% of crowdsourced questions did not actually require the seed science fact, exposing a residual single-hop shortcut. | Independence assumption for human-accuracy bound is acknowledged as imperfect because the same worker may answer multiple questions. | Adding ConceptNet to the knowledge-enhanced reader hurts accuracy, indicating brittle knowledge-retrieval rather than robust reasoning."
RP04,2019,Clark,BoolQ: Exploring the Surprising Difficulty of Natural Yes/No Questions,NAACL 2019,,"BoolQ is a reading comprehension dataset of 16,000 naturally occurring yes/no questions paired with Wikipedia passages, used to test inferential abilities of QA models.",BoolQ; MultiNLI; SNLI; RACE; QNLI; SQuAD 2.0; Natural Questions (NQ Long Answer); QQP (Quora Question Paraphrasing); Y/N MS Marco,"16,000 naturally occurring yes/no questions: 9.4k train, 3.2k dev, 3.2k test (avg question 8.9 tokens, avg passage 108 tokens; 62.31% yes in train)","Recurrent (BiLSTM + co-attention with fastText embeddings); Recurrent + ELMo; OpenAI GPT (12 layer, 768 dim transformer); BERT-Large (24 layer, 1024 dim)",Accuracy (test)=80.43 (BERT-Large + MultiNLI BoolQ); Accuracy=90.0 (Human BoolQ); Accuracy (train)=62.31 (Majority BoolQ); Accuracy (test)=80.43 (BERT-Large + MultiNLI BoolQ),BERT-Large + MultiNLI two-step transfer reaches 80.43% test accuracy on BoolQ | Human annotators reach 90% accuracy on 110 gold-standard examples | Majority-class baseline gets 62.31% test accuracy on BoolQ | MultiNLI single-step transfer with Recurrent model reaches 75.57% on BoolQ dev (best supervised method),"Introduces a new dataset of 16k naturally occurring yes/no questions, paired with Wikipedia passages and used as a benchmark. | Shows yes/no questions require diverse inference: less than 40% can be solved by paraphrase detection alone. | Finds MultiNLI transfer adds 3.5 points on top of BERT-Large pre-training, showing entailment data is complementary. | Releases data and code publicly to enable reproducible benchmark results.","Uses singly-annotated examples in train, dev, and test sets to keep the dataset large. | Class imbalance: 62.31% of training answers are yes, complicating evaluation against majority baseline. | Authors note dataset has been updated since the inference analysis was done, so the type breakdown may be slightly out of date."
RP05,2019,Zellers,HellaSwag: Can a Machine Really Finish Your Sentence?,ACL 2019,,HellaSwag is a 70k-question commonsense NLI benchmark built via Adversarial Filtering (AF) with GPT generations and BERT discriminators; it is easy for humans (>95%) but hard for state-of-the-art models (<48%).,HellaSwag; ActivityNet Captions; WikiHow; SWAG,70k problems total: 25k ActivityNet contexts and 45k WikiHow contexts; 10K validation and 10K test (5k in-domain + 5k zero-shot each).,BERT-Large; BERT-Base; OpenAI GPT; ESIM+ELMo; LSTM+BERT-Base; LSTM+ELMo; LSTM+GloVe; fastText,Accuracy=33.3 (ESIM+ELMo HellaSwag); Accuracy=47.3 (BERT-Large HellaSwag); Accuracy=45.0 (BERT-Large WikiHow); Accuracy=95.7 (Human HellaSwag) | other metrics: accuracy (%) on four-way multiple choice,"BERT-Large reaches 47.3% test accuracy on HellaSwag overall vs 95.6% human accuracy (gap > 48%) | BERT-Large drops from 86% on SWAG to 47.3% on HellaSwag, while ESIM+ELMo drops from 59% (SWAG) to 33.3% (HellaSwag) | BERT-Large zero-shot test accuracy 45.0% vs in-domain 49.7%, a 4.7-point drop on novel categories | BERT-Large transfers poorly: trained on SWAG, evaluated on HellaSwag scores only 34.6%; SWAG models on WikiHow get just 28%",Builds a 70k commonsense NLI benchmark that is trivial for humans (>95%) yet hard for state-of-the-art models (<50%). | Identifies a Goldilocks zone of generation length where outputs fool BERT yet humans easily reject them. | Includes a zero-shot evaluation split using held-out categories to measure generalization beyond seen domains. | Releases dataset and code publicly for community use.,"Tests only models available in 2019 (BERT, GPT, ELMo); newer LLMs may quickly close the gap. | Compute extrapolation to human-level (10^9 GPU-hours) is a rough Roofline estimate, not a measurement. | Acknowledges that future models may solve HellaSwag by picking up on spurious patterns rather than reasoning."
RP06,2019,Bisk,PIQA: Reasoning about Physical Commonsense in Natural Language,AAAI 2020,,"Introduces PIQA, a multiple-choice benchmark for physical commonsense reasoning where humans reach 95% but large pretrained models (GPT, BERT, RoBERTa) plateau near 77%.",PIQA,"Over 16,000 training QA pairs, ~2K development, ~3K test; goals average 7.8 words, solutions average 21.3 words; >3.7M lexical tokens in training",OpenAI GPT (124M); Google BERT-Large (340M); FAIR RoBERTa-Large (355M),Accuracy=79.2 (RoBERTa-Large PIQA); Accuracy=77.1 (RoBERTa-Large PIQA (test)); Accuracy=94.9 (Human PIQA); Accuracy=95.0 (Human PIQA) | other metrics: Accuracy (%),"RoBERTa-Large reaches 79.2% validation / 77.1% test accuracy on PIQA, the best of the three pretrained models | Human performance reaches 94.9% validation accuracy, ~18 points above RoBERTa | BERT-Large reaches 67.1% validation / 66.8% test, GPT 70.9% / 69.2% on PIQA | Roughly 20-point absolute gap between best model and human performance on PIQA","Targets reporting bias by using instructables.com to seed annotators with atypical everyday tasks, flattening the object distribution. | Applies AFLite to remove stylistic artifacts that artificially inflate model accuracy on prior NLI benchmarks. | Provides a detailed error analysis showing RoBERTa fails on relations like before, after, top, bottom near chance level. | Establishes a clear ~20-point human-model gap, giving the field a measurable target for physical commonsense progress.","Finetuning was unstable for some configurations, with some runs landing near chance accuracy especially for BERT. | Examples were truncated at 150 tokens, affecting roughly 1% of the data. | Some ""mistakes"" in development errors were actually correct but required a web search to verify. | Validation removed correct examples needing expert domain knowledge, narrowing the scope of ""commonsense"" the dataset captures."
RP07,2020,Nagel,Up or Down? Adaptive Rounding for Post-Training Quantization,ICML 2020 (PMLR 119),,"AdaRound is a post-training weight-rounding method that adapts to data and task loss using a per-layer QUBO formulation solved via continuous relaxation, quantizing ResNet-18/50 weights to 4 bits within 1% accuracy drop.",ImageNet (ILSVRC); Pascal VOC; MS COCO (used as alt calibration data),"1024 unlabeled ImageNet training images for ResNet18 ablations (2048 for the main literature comparison, 20k iterations); 512 images for DeepLabV3+ on Pascal VOC",ResNet-18; ResNet-50; InceptionV3; MobileNetV2; DeepLabV3+ (MobileNetV2 backbone),Top-1 Accuracy=69.68 (ResNet-18 32-bit ImageNet); Top-1 Accuracy=68.71 (ResNet-18 4-bit ImageNet); Top-1 Accuracy=75.23 (ResNet-50 4-bit ImageNet); Top-1 Accuracy=68.6 (ResNet-18 4-bit ImageNet) | other metrics: ImageNet top-1 validation accuracy (%); Mean Intersection over Union (mIOU) for semantic segmentation,ResNet-18 at 4-bit weights (W4/A32) reaches 68.71% top-1 vs FP32 69.68% (drop ~0.97 pp) | ResNet-50 at 4-bit weights reaches 75.23% top-1 vs FP32 76.07% (drop ~0.84 pp) | MobileNetV2 at W4/A32 reaches 69.78% vs FP32 71.72%; nearest rounding collapses to 8.09% | DeepLabV3+ on Pascal VOC at W4/A8 reaches 70.86 mIOU vs FP32 72.94 (~2 pp drop) while nearest collapses to 6.09,"Recovers ResNet-18 and ResNet-50 4-bit weight accuracy to within 1% of FP32, a clear new state-of-the-art for PTQ. | Computationally fast: AdaRound on ResNet-18 finishes in 10 minutes on one GTX 1080 Ti. | Robust to calibration data: as few as 256 unlabeled images, even from out-of-distribution sets, recover within ~2% of FP32. | Theoretically grounded: derives the rounding objective from a Taylor expansion of the task loss into a per-layer QUBO.","Step size and rounding are not jointly optimised; any change to step size produces a different QUBO problem. | The diagonal preactivation Hessian is an approximation; ignoring cross-layer interactions and treating diag entries as constant is a simplification. | Activation quantization uses only simple min-max scaling, which limits aggressiveness on activations."
RP08,2022,Aminabadi,DeepSpeed Inference: Enabling Efficient Inference of Transformer Models at Unprecedented Scale,"SC22: International Conference for High Performance Computing, Networking, Storage and Analysis (arXiv preprint arXiv:2207.00032)",arXiv:2207.00032,"DeepSpeed Inference is a comprehensive transformer inference system combining inference-optimized GPU kernels (with FP16 and INT8 GeMM), tensor and pipeline parallelism, MoE-specific optimizations, and ZeRO-Inference heterogeneous offloading to deliver up to 7.3x latency reduction and 25x larger servable model size.","Synthetic GPT-style prompts (128-token input, 8 generated tokens for dense latency); Synthetic MoE prompts (128-token input, 100 generated tokens, batch size 8); Synthetic throughput workload (512-token input, 50 generated tokens)",Synthetic prompts: 128 input tokens for latency benchmarks (8 or 100 generated tokens) and 512 input tokens for throughput (50 generated tokens); no calibration set used,GPT-2 1.5B; GPT-Neo 2.7B; GPT-J 6B; GPT-13B; GPT-NeoX-20B; GPT-50B; GPT-87B; LM-175B (GPT-3 scale); LM-530B (MT-NLG scale); 1.3B+MoE-128 (52B total); 2.4B+MoE-128 (107.7B total); 8B+MoE-128 (349B total); 24B+MoE-128 (1064.9B total); 47B+MoE-128 (2024B total = 2T); DistilBERT (E.T. comparison); BERT (E.T. comparison),Latency reduction (x_factor)=7.3 (MoE-1T 16-bit A100 40GB); Throughput improvement (x_factor)=1.5 (GPT-3 175B 16-bit A100 40GB); Model scale vs GPU-only (x_factor)=25.0 (MT-NLG 530B 16-bit A6000 48GB); Compute throughput (TFLOPS)=84.0 (MT-NLG 530B 16-bit A6000 48GB) | other metrics: End-to-end latency (ms); Token throughput (tokens/sec); Compute throughput (TFLOPS per GPU); Aggregate memory bandwidth (TB/sec); Speedup factor over FasterTransformer baseline,"DeepSpeed-INT8 reaches up to 1.95x latency speedup over FasterTransformer FP16 baseline at small batch sizes for dense GPT models | DeepSpeed-MoE delivers up to 7.3x lower per-token latency vs PyTorch baseline and serves a 1T-parameter MoE model under 25 ms on 256 GPUs | 1.51x throughput improvement over FasterTransformer for GPT-3 175B on 2x8 A100 nodes | ZeRO-Inference runs a 530B model on a single A6000 GPU at 84 TFLOPS (54% of 158.4 TFLOPS theoretical peak), 25x larger than GPU-only solutions | DeepSpeed-FP16 reduces dense-model latency by up to 1.55x at small batch sizes and 1.57x at larger batches over FasterTransformer FP16","Comprehensive system covering kernel fusion, tensor and pipeline parallelism, MoE optimizations, and heterogeneous offloading in one stack. | Scales to 256 GPUs and serves a 1T-parameter MoE model under 25 ms, an unprecedented scale for inference. | ZeRO-Inference democratises massive-model inference on a single A6000 by streaming weights from DRAM and NVMe at 54 percent of peak. | Open-source release as part of Microsoft DeepSpeed library, allowing replication and integration by the community.","INT8 path is not characterised for accuracy; the paper reports only latency and throughput, not perplexity or downstream metrics. | Hybrid scheduling is limited to batch size 24 due to a PyTorch AllReduce kernel issue that the authors leave to future work. | FasterTransformer baseline cannot be run with combined TP+PP for 530B, so comparison uses a TP-only baseline only. | Only 33 percent of peak memory bandwidth is reached on 256 GPUs, leaving substantial headroom that the authors acknowledge."
RP09,2022,Frantar,GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers,ICLR 2023 (arXiv preprint 2022),arXiv:2210.17323,GPTQ is a one-shot weight-only post-training quantization method using approximate second-order information that compresses 175B-parameter GPT models to 3-4 bits in about four GPU hours with negligible accuracy loss.,C4; WikiText2; Penn Treebank (PTB); LAMBADA; ARC (Easy and Challenge); PIQA; SQuAD (BERT-base appendix); ImageNet (ResNet-18/50 ablation),128 random 2048-token segments sampled from C4 for calibration,OPT-125M; OPT-350M; OPT-1.3B; OPT-2.7B; OPT-6.7B; OPT-13B; OPT-30B; OPT-66B; OPT-175B; BLOOM-560M; BLOOM-1.1B; BLOOM-1.7B; BLOOM-3B; BLOOM-7.1B; BLOOM-176B; BERT-base; ResNet-18; ResNet-50,Quantization runtime (hours)=4.2 (OPT-175B C4); Perplexity=8.34 (OPT-175B 16-bit WikiText-2); Perplexity=10.54 (OPT-175B 4-bit WikiText-2); Perplexity=8.37 (OPT-175B 4-bit WikiText-2) | other metrics: Perplexity (PPL); Zero-shot accuracy; Per-token latency (ms); Speedup factor over FP16; GPU memory / GPU count for inference,"OPT-175B at 4-bit GPTQ reaches WikiText2 PPL 8.37 vs FP16 8.34 (delta 0.03), while RTN drops to 10.54 | OPT-175B at 3-bit GPTQ reaches WikiText2 PPL 8.68 (vs 8.34 FP16); RTN collapses to 7.3e3 | End-to-end 3.24x decoding speedup on A100 80GB (230 ms FP16 to 71 ms 3-bit) for OPT-175B | End-to-end 4.53x speedup on A6000 48GB (589 ms FP16 to 130 ms 3-bit), reducing GPU count from 8 to 2 | GPTQ quantizes OPT-175B in 4.2h and BLOOM-176B in 3.8h on a single A100","First method to quantize 100B+ parameter LLMs (OPT-175B, BLOOM-176B) to 3-4 bits in roughly four GPU hours with negligible perplexity loss. | Real end-to-end decoding speedups: 3.25x on A100 and 4.5x on A6000 over FP16 via custom mixed-precision GPU kernels. | Pushes one-shot extreme quantization to 2-bit and ternary regimes, with under 1.5 PPL drop on OPT-175B at 2.2-bit grouping. | Open-source code released, with reproducibility statement listing CUDA kernels and full evaluation pipeline.","No speedup on the actual matrix multiplications because mainstream hardware lacks mixed FP16xINT4 multiply support. | Activations are not quantized, so memory and compute savings are limited to the weight stream. | Speedups come only from reduced memory movement, not from any reduction in arithmetic operations. | Quality is judged by perplexity only; bias and other secondary effects of compression are not studied."
RP10,2022,Xiao,SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Language Models,"ICML 2023 (Proceedings of the 40th International Conference on Machine Learning, PMLR 202)",,SmoothQuant is a training-free W8A8 PTQ method that uses an offline mathematically equivalent per-channel scaling to migrate quantization difficulty from activations to weights for LLMs.,LAMBADA; HellaSwag; PIQA; WinoGrande; OpenBookQA; RTE; COPA; WikiText; MMLU; MNLI; QNLI; The Pile (calibration),512 random calibration sentences from the Pile pre-training dataset,OPT-175B; OPT-6.7B / 13B / 30B / 66B (scaling study); BLOOM-176B; GLM-130B; MT-NLG 530B; OPT-IML-30B (instruction-tuned); LLaMA-7B/13B/30B/65B; Llama-2-7B/13B/70B; Falcon-7B/40B; Mistral-7B; Mixtral-8x7B,"Accuracy=74.7 (OPT-175B 8-bit LAMBADA); Average Accuracy=66.5 (OPT-175B 8-bit 7-task average); Average Accuracy=66.8 (OPT-175B 8-bit 7-task average); Speedup over FP16=1.42 (OPT-30B (1 GPU, BS=16, SeqLen=512) 8-bit A100 80GB) | other metrics: zero-shot accuracy; perplexity (WikiText); inference latency (ms); peak GPU memory (GB); speedup factor (vs FP16)",OPT-175B average accuracy across 7 zero-shot tasks: FP16 66.9% vs SmoothQuant-O3 66.8% (−0.1pp); WikiText PPL 10.99 → 11.17 | BLOOM-176B average accuracy: FP16 68.2% vs SmoothQuant-O2 68.4%; GLM-130B FP16 73.8% vs SmoothQuant-O1 73.7% | Up to 1.56× inference speedup and ~2× memory saving over FP16 in FasterTransformer; 1.51× speedup and 1.96× memory in PyTorch on A100 | MT-NLG 530B served on 8 GPUs (vs 16 for FP16) at similar latency; e.g. SeqLen 1024: FP16 16-GPU 1707ms/1095GB vs INT8 8-GPU 1689ms/570GB,"Maintains FP16 accuracy on OPT-175B, BLOOM-176B and GLM-130B with INT8 W8A8, while baselines like W8A8 naive and ZeroQuant collapse. | Hardware-friendly: uses standard INT8 GEMM kernels via per-tensor static activation quantization, avoiding LLM.int8() mixed-precision overhead. | Delivers up to 1.56× speedup and ~2× memory saving and serves MT-NLG 530B on a single 8×A100 node. | Training-free with only 512 calibration sentences; one calibration generalises to all downstream zero-shot tasks.","Migration strength α must be hand-tuned per model family (0.5 for OPT/BLOOM, 0.75 for GLM-130B, 0.6–0.9 for Llama/Falcon/Mistral). | GLM-130B needs additional 2% top-token clipping during static calibration to recover accuracy. | Per-tensor static O3 setting still loses ~0.8–1% accuracy on BLOOM-176B and GLM-130B versus FP16. | Direct comparison with weight-only methods like GPTQ is avoided due to incompatible kernels and serving frameworks."
