rp_id,model,method,bit_width,group_size,dataset,metric,value,baseline_label,baseline_value,delta,delta_unit,headline,source_kind,page,section,source_table,quote
RP12,Llama-2,Llama-2,,,Pretraining corpus,Pretraining tokens,2T,,,,,True,measured,5,2.1 Pretraining Data,,We trained on 2 trillion tokens of data as this provides a good performance-cost trade-off
RP12,Llama-2-Chat-70B,Llama-2-Chat,,,Human Eval (helpfulness ~4000 prompts),Win rate vs ChatGPT (%),36.0,ChatGPT,50.0,-14.0,percent,True,measured,19,3.4.2 Human Evaluation,,Llama 2-Chat 70B model has a win rate of 36% and a tie rate of 31.5% relative to ChatGPT
RP12,Llama-2-Chat-70B,Llama-2-Chat,,,Human Eval (helpfulness ~4000 prompts),Tie rate vs ChatGPT (%),31.5,,,,,True,measured,19,3.4.2 Human Evaluation,,Llama 2-Chat 70B model has a win rate of 36% and a tie rate of 31.5% relative to ChatGPT
RP12,Llama-2-Chat-7B,Llama-2-Chat,,,Human Eval (helpfulness),Win rate vs MPT-7B-chat (%),60.0,,,,,True,measured,18,3.4.2 Human Evaluation,,Llama 2-Chat 7B model outperforms MPT-7B-chat on 60% of the prompts
RP12,Llama-2-Chat-34B,Llama-2-Chat,,,Human Eval (helpfulness),Win rate vs Vicuna-33B / Falcon-40B (%),75.0,,,,,True,measured,18,3.4.2 Human Evaluation,,Llama 2-Chat 34B has an overall win rate of more than 75% against equivalently sized Vicuna-33B and Falcon 40B models
RP12,Llama-2-7B,Llama-2,,,Pretraining,GPU hours,184320,,,,,False,measured,7,2.2.1 Training Hardware & Carbon Footprint,Table 2,LLAMA 2 | 7B | 184320 | 400 | 31.22
RP12,Llama-2-7B,Llama-2,,,Pretraining,Power (W),400,,,,,False,measured,7,2.2.1 Training Hardware & Carbon Footprint,Table 2,LLAMA 2 | 7B | 184320 | 400 | 31.22
RP12,Llama-2-7B,Llama-2,,,Pretraining,Carbon emitted (tCO2eq),31.22,,,,,False,measured,7,2.2.1 Training Hardware & Carbon Footprint,Table 2,LLAMA 2 | 7B | 184320 | 400 | 31.22
RP12,Llama-2-13B,Llama-2,,,Pretraining,GPU hours,368640,,,,,False,measured,7,2.2.1 Training Hardware & Carbon Footprint,Table 2,13B | 368640 | 400 | 62.44
RP12,Llama-2-13B,Llama-2,,,Pretraining,Carbon emitted (tCO2eq),62.44,,,,,False,measured,7,2.2.1 Training Hardware & Carbon Footprint,Table 2,13B | 368640 | 400 | 62.44
RP12,Llama-2-34B,Llama-2,,,Pretraining,GPU hours,1038336,,,,,False,measured,7,2.2.1 Training Hardware & Carbon Footprint,Table 2,34B | 1038336 | 350 | 153.90
RP12,Llama-2-34B,Llama-2,,,Pretraining,Power (W),350,,,,,False,measured,7,2.2.1 Training Hardware & Carbon Footprint,Table 2,34B | 1038336 | 350 | 153.90
RP12,Llama-2-34B,Llama-2,,,Pretraining,Carbon emitted (tCO2eq),153.9,,,,,False,measured,7,2.2.1 Training Hardware & Carbon Footprint,Table 2,34B | 1038336 | 350 | 153.90
RP12,Llama-2-70B,Llama-2,,,Pretraining,GPU hours,1720320,,,,,False,measured,7,2.2.1 Training Hardware & Carbon Footprint,Table 2,70B | 1720320 | 400 | 291.42
RP12,Llama-2-70B,Llama-2,,,Pretraining,Carbon emitted (tCO2eq),291.42,,,,,True,measured,7,2.2.1 Training Hardware & Carbon Footprint,Table 2,70B | 1720320 | 400 | 291.42
RP12,Llama-2 (all sizes),Llama-2,,,Pretraining,Total GPU hours,3311616,,,,,False,measured,7,2.2.1 Training Hardware & Carbon Footprint,Table 2,Total | | 3311616 | | 539.00
RP12,Llama-2 (all sizes),Llama-2,,,Pretraining,Total carbon emitted (tCO2eq),539.0,,,,,True,measured,7,2.2.1 Training Hardware & Carbon Footprint,Table 2,"We estimate the total emissions for training to be 539 tCO2eq, of which 100% were directly offset"
RP12,MPT-7B,MPT,,,Code (avg HumanEval/MBPP pass@1),Average score,20.5,,,,,False,measured,8,2.3 Llama 2 Pretrained Model Evaluation,Table 3,MPT | 7B | 20.5 | 57.4 | 41.0 | 57.5 | 4.9 | 26.8 | 31.0 | 23.5
RP12,MPT-7B,MPT,,,Commonsense Reasoning (avg),Average accuracy,57.4,,,,,False,measured,8,2.3 Llama 2 Pretrained Model Evaluation,Table 3,MPT | 7B | 20.5 | 57.4 | 41.0 | 57.5 | 4.9 | 26.8 | 31.0 | 23.5
RP12,MPT-7B,MPT,,,World Knowledge (NQ+TQA avg),Average score,41.0,,,,,False,measured,8,2.3 Llama 2 Pretrained Model Evaluation,Table 3,MPT | 7B | 20.5 | 57.4 | 41.0 | 57.5 | 4.9 | 26.8 | 31.0 | 23.5
