rp_id,model,method,bit_width,group_size,dataset,metric,value,baseline_label,baseline_value,delta,delta_unit,headline,source_kind,page,section,source_table,quote
RP49,LLaMA3.1-8B-Instruct,FP16,16-bit,,Affirmative,Accuracy (%),97.17,,,,,False,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | Original | 16 | 97.17 | 93.24 | 94.95 | 55.91 | 76.96
RP49,LLaMA3.1-8B-Instruct,FP16,16-bit,,Negated,Accuracy (%),93.24,,,,,False,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | Original | 16 | 97.17 | 93.24 | 94.95 | 55.91 | 76.96
RP49,LLaMA3.1-8B-Instruct,FP16,16-bit,,Conjunction,Accuracy (%),94.95,,,,,False,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | Original | 16 | 97.17 | 93.24 | 94.95 | 55.91 | 76.96
RP49,LLaMA3.1-8B-Instruct,FP16,16-bit,,Disjunction,Accuracy (%),55.91,,,,,False,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | Original | 16 | 97.17 | 93.24 | 94.95 | 55.91 | 76.96
RP49,LLaMA3.1-8B-Instruct,FP16,16-bit,,CommonClaim,Accuracy (%),76.96,,,,,False,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | Original | 16 | 97.17 | 93.24 | 94.95 | 55.91 | 76.96
RP49,LLaMA3.1-8B-Instruct,AWQ,4-bit,,Affirmative,Accuracy (%),95.11,FP16,97.17,-2.06,absolute,False,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | AWQ | 4 | 95.11 | 91.81 | 90.36 | 54.60 | 76.04
RP49,LLaMA3.1-8B-Instruct,AWQ,4-bit,,Negated,Accuracy (%),91.81,FP16,93.24,-1.43,absolute,False,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | AWQ | 4 | 95.11 | 91.81 | 90.36 | 54.60 | 76.04
RP49,LLaMA3.1-8B-Instruct,AWQ,4-bit,,Conjunction,Accuracy (%),90.36,FP16,94.95,-4.59,absolute,False,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | AWQ | 4 | 95.11 | 91.81 | 90.36 | 54.60 | 76.04
RP49,LLaMA3.1-8B-Instruct,AWQ,4-bit,,Disjunction,Accuracy (%),54.6,FP16,55.91,-1.31,absolute,False,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | AWQ | 4 | 95.11 | 91.81 | 90.36 | 54.60 | 76.04
RP49,LLaMA3.1-8B-Instruct,AWQ,4-bit,,CommonClaim,Accuracy (%),76.04,FP16,76.96,-0.92,absolute,False,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | AWQ | 4 | 95.11 | 91.81 | 90.36 | 54.60 | 76.04
RP49,LLaMA3.1-8B-Instruct,GPTQ,4-bit,,Affirmative,Accuracy (%),96.79,FP16,97.17,-0.38,absolute,False,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | GPTQ | 4 | 96.79 | 93.43 | 94.93 | 59.43 | 74.94
RP49,LLaMA3.1-8B-Instruct,GPTQ,4-bit,,Negated,Accuracy (%),93.43,FP16,93.24,0.19,absolute,False,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | GPTQ | 4 | 96.79 | 93.43 | 94.93 | 59.43 | 74.94
RP49,LLaMA3.1-8B-Instruct,GPTQ,4-bit,,Conjunction,Accuracy (%),94.93,FP16,94.95,-0.02,absolute,False,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | GPTQ | 4 | 96.79 | 93.43 | 94.93 | 59.43 | 74.94
RP49,LLaMA3.1-8B-Instruct,GPTQ,4-bit,,Disjunction,Accuracy (%),59.43,FP16,55.91,3.52,absolute,False,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | GPTQ | 4 | 96.79 | 93.43 | 94.93 | 59.43 | 74.94
RP49,LLaMA3.1-8B-Instruct,GPTQ,4-bit,,CommonClaim,Accuracy (%),74.94,FP16,76.96,-2.02,absolute,False,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | GPTQ | 4 | 96.79 | 93.43 | 94.93 | 59.43 | 74.94
RP49,LLaMA3.1-8B-Instruct,AQLM-PV,2-bit,1x16,Affirmative,Accuracy (%),85.11,FP16,97.17,-12.06,absolute,True,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | AQLM-PV-1x16 | 2 | 85.11 | 92.03 | 91.34 | 48.78 | 75.93
RP49,LLaMA3.1-8B-Instruct,AQLM-PV,2-bit,1x16,Negated,Accuracy (%),92.03,FP16,93.24,-1.21,absolute,False,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | AQLM-PV-1x16 | 2 | 85.11 | 92.03 | 91.34 | 48.78 | 75.93
RP49,LLaMA3.1-8B-Instruct,AQLM-PV,2-bit,1x16,Conjunction,Accuracy (%),91.34,FP16,94.95,-3.61,absolute,False,measured,4,3.1 Models and Quantization Methods,Table 1,LLaMA3.1-8B | Chat | AQLM-PV-1x16 | 2 | 85.11 | 92.03 | 91.34 | 48.78 | 75.93
